from,to,sign
0,1768,1
0,4532,1
0,4533,1
0,4534,1
0,4535,1
0,4536,1
0,4537,1
0,4538,1
0,4539,1
0,4540,1
0,4541,1
0,4542,1
0,4543,1
0,4544,1
0,4545,1
0,4546,1
0,4547,1
0,4548,1
0,4549,1
0,4550,1
0,4551,1
0,4852,1
0,4864,-1
0,4865,-1
0,4866,-1
0,4867,-1
0,4868,-1
0,4869,-1
0,4870,-1
0,4871,-1
0,4872,-1
0,4873,-1
0,4874,-1
0,4875,-1
0,4876,-1
0,4877,-1
0,4878,-1
0,4879,-1
0,4880,-1
0,4881,-1
0,4882,-1
0,4883,-1
0,4884,-1
0,4885,-1
0,4886,-1
0,4887,-1
0,4888,-1
0,4889,-1
0,4890,-1
0,4891,-1
0,4892,-1
0,4893,-1
0,4894,-1
0,4895,-1
0,4896,-1
0,4897,-1
0,4847,-1
0,4848,-1
0,4849,-1
0,4850,-1
0,4851,-1
0,4853,-1
0,4854,-1
0,4855,-1
0,4856,-1
0,4857,-1
0,4858,-1
0,4859,-1
0,4860,-1
0,4861,-1
0,4862,-1
0,4863,-1
0,4909,1
0,4910,-1
0,4911,-1
0,4912,-1
0,4913,-1
0,4914,-1
0,4915,-1
0,4916,-1
0,4917,-1
0,4918,-1
0,4919,-1
0,4920,-1
0,4921,-1
0,4922,-1
0,4923,-1
0,4924,-1
0,4925,-1
0,4926,-1
0,4927,-1
0,4928,-1
0,4929,-1
0,4930,-1
0,4931,-1
0,4932,-1
0,4933,-1
0,4934,-1
0,4935,-1
0,4936,-1
0,4937,-1
0,4938,-1
0,4939,-1
0,4940,-1
0,4941,-1
0,4942,-1
0,4943,-1
0,4944,-1
0,4945,-1
0,4946,-1
0,4947,-1
0,4948,-1
0,4949,-1
0,4950,-1
0,4951,-1
0,4952,-1
0,4953,-1
0,4954,-1
0,4955,-1
0,4956,-1
0,5041,1
0,5062,1
0,5022,1
1,1769,1
1,4552,1
1,4543,1
1,4553,1
1,4554,1
1,4555,1
1,4556,1
1,4557,1
1,4558,1
1,4559,1
1,4539,1
1,4537,1
1,4533,1
1,4560,1
1,4561,1
1,4562,1
1,4563,1
1,4540,1
1,4853,1
1,4864,-1
1,4865,-1
1,4866,-1
1,4867,-1
1,4868,-1
1,4869,-1
1,4870,-1
1,4871,-1
1,4872,-1
1,4873,-1
1,4874,-1
1,4875,-1
1,4876,-1
